Word,Token,Frequency
,,1
robert,298 14979,6
boulter,65 9826 399,24
is,276,27
an,270,20
english,64215,1
film,40489,4
television,17004 6421,17
and,427,79
theatre,3086 14624,12
actor,8428,2
he,273,92
had,26355,15
a,64,77
guest,50197,5
starring,302 34843,3
role,8716,12
on,263,33
the,3086,226
series,26443,16
bill,51424,5
in,258,135
this,851,20
was,9844,57
followed,34865 295,3
by,2345,43
play,2003,7
herons,999 1808,2
written,54815,6
simon,82 15235,2
stephens,2277 961 696,2
which,13980,15
performed,193028,6
at,266,14
royal,5972 280,2
court,107569,5
judge,163735,2
john,106011,4
deed,613 295,2
landed,2117 295,2
as,288,34
craig,116255 343,2
episode,63434,8
teddy,83 60199,2
s,82,25
story,50482,2
of,1440,121
long,8431,3
firm,8580,2
starred,16204 1291,14
alongside,67455 4341,5
actors,37126,2
mark,5037,4
strong,9851,3
derek,67 21940,2
jacobi,77250 25245,2
cast,5223,1
productions,11634 2620,2
philip,961 109447,2
ridley,66452 4356,2
mercury,1159 3264 88,3
fur,21165,3
drum,4541 394,2
plymouth,4221 47939,2
menier,2712 905,2
chocolate,332 16017,2
factory,43273,2
london,75 8552,4
directed,37135 295,8
tiffany,83 84627,2
ben,3128,5
whishaw,2078 1109 1134,6
shane,1116 1986,3
zaza,89 10051,3
harry,8665 1102,2
kent,98632,2
fraser,13035 259,3
ayres,356 430,3
sophie,82 101685,2
stanton,10380 263,2
dominic,7385 151610,2
hall,58601,2
citizenship,67982 51909 2504,4
ravenhill,81 6260 45774,2
appeared,15645 2343,4
doctors,2408 14421,2
production,47237,3
how,8923,4
to,935,82
curse,134738,4
josie,19949 396,2
rourke,81 401 1272,2
bush,65 1776,2
borough,53895,2
hammersmith,71 55184 68671,2
fulham,1500 6595,2
two,38397,10
films,119266,2
daylight,1635 6038,2
robbery,23858 68063,2
filmmaker,7009 4538 6114,2
paris,796 276,4
leonti,282 645 72,4
donkey,22130 1898,3
punch,79 4446,3
olly,36246,2
blackburn,18474 33750,2
may,21065,4
made,33322,2
appearance,125034,2
part,5815,4
arc,18843,2
waking,86 5016,2
dead,69891,2
survivors,26617 37442 914,2
november,13802 1634,3
recurring,9285 25908,3
ten,1305,3
episodes,136816,3
casualty,14617 850 1206,2
kieron,74 15694,2
fletcher,69 118483,2
mercenaries,7159 262 8526,2
career,198069,3
portrayed,2901 371 19630,4
scott,2786 2441,2
parry,796 1102,1
safe,46891,1
hands,103418,1
review,37404,3
performance,111932,2
independent,521 66362,1
sunday,82 8514,1
described,4117 28426,1
him,35563,7
horribly,71 4761 8800,1
menacing,2712 7997,1
received,79385,3
critical,57015,1
reviews,77233,1
herald,999 5956,1
evening,28689 289,1
standard,36672,2
addem,964 347,1
armitage,2218 22507,1
political,58137 933,2
expediency,8067 295 76835,1
different,127306,3
character,38245,5
toby,83 30172,1
steele,2277 5449,1
connor,12394 267,1
price,7629,1
darren,67 27547,1
it,278,13
favorable,69 123037,1
daily,87311,2
telegraph,17004 7978,2
acting,79900,1
shatteringly,1116 4612 18258,1
intense,491 1603,1
with,6332,9
wired,188429,1
performances,46952 3528,1
from,2845,17
now,6201,4
unrecognisable,373 70371 126160,1
his,38520,79
trevor,4086 10719,1
nunn,77 5770,1
hamlet,6595 1347,1
guardian,191601,1
noted,2878 295,4
offer,36307,1
tenderness,83 1644 2816,1
amid,177486,1
savagery,82 66525 875,1
present,47421,2
featured,87025,2
playwrights,2003 83439 82,1
titled,83 23992,2
burn,33750,2
chatroom,13503 3332,2
interview,3082 1282,1
fellow,69 7773,2
identified,94542,2
one,690,10
favorite,88060,1
co,1191,1
stars,54412,1
i,72,5
loved,75 4959,1
working,29334,1
guy,70 3731,1
called,82970,4
who,29997,10
triple,371 5335,1
national,79438,1
played,101138,1
my,3825,3
brother,14996 942,4
jason,73 2350,1
tyler,1206 1639,1
something,64493,1
ate,379,1
william,21053 5866,3
for,1938,22
critic,171599,1
charles,3257 1032,1
spencer,1148 19726,1
brings,1697 963,1
touching,47206 289,1
vulnerability,85 198112,1
stage,37244,1
named,55057,1
sean,344 270,1
tags,27989,1
along,67455,2
josh,73 12601,1
quiet,60879,1
hits,106054,1
off,2864,1
tammi,78855 3900,1
wounds,86 4795,1
jimmy,137484 3825,1
dearden,613 7780,1
neil,611 311,1
emergency,347 124097,1
physician,43524 15884,2
applying,903 9542,1
medical,111959,1
fellowship,69 7773 8238,1
commented,12606 295,1
inherent,258 117353,1
difficulties,67 102622 566,2
portraying,2901 371 22983,1
playing,86433,1
doctor,61619,1
strange,689 1052,1
experience,90536,1
pretending,12540 3258,1
you,13320,7
know,45616,5
what,13347,9
re,264,2
talking,62811 289,1
about,15551,6
when,16228,6
don,22130,1
t,83,1
very,1437,1
bizarre,65 54933,1
but,8293,16
there,31813,3
are,644,12
advisers,324 2083 409,1
set,977,1
fantastic,47824 5620,1
taking,180297,1
through,32099,2
procedures,191161 1609,1
giving,140932,1
confidence,188856,1
stand,2861,1
look,9001,1
like,9995,4
doing,96490,1
filmography,40489 7587,1
du,698,40
fu,20331,36
wade,86 973,1
giles,70 2892,1
tu,10191,2
chinese,332 11604,16
prominent,25652 30831,1
poet,2519 292,14
tang,83 516,3
dynasty,68684 20936,2
li,1307,6
bai,65 1361,4
po,2519,2
frequently,17310 23313,3
greatest,67530 376,2
poets,2519 1719,3
ambition,1855 868,1
serve,12050,1
country,23663,2
successful,140743,1
civil,191188,6
servant,1850 493,2
proved,160598,1
unable,102564,1
make,14172,2
necessary,37515,1
accommodations,359 11857 929,1
life,19652,14
whole,127718,2
devastated,6751 629 780,1
lushan,75 150585,2
rebellion,19100 596 294,4
last,6684,4
years,75629,11
were,17019,3
time,4580,10
almost,116393,4
constant,60706,1
unrest,373 7134,1
although,63587,5
initially,17493 423,1
little,107268,1
known,8520,4
other,2141,6
writers,84672,1
works,23042,10
came,136779,2
be,1464,10
hugely,192892 1151,1
influential,258 32844 2972,1
both,47163,2
japanese,73 53412,1
literary,120433 815,3
culture,132158,1
poetic,2519 17492,6
writing,35352,2
nearly,611 3489,1
fifteen,69 366 17109,1
hundred,59576 1291,1
poems,2519 17308,21
have,35723,14
been,106700,11
preserved,27252 15423,1
over,2898,1
ages,1461,1
has,5429,6
historian,65609 1200,3
sage,137670,3
critics,15345 1541,5
while,7032,5
range,20967,3
work,1596,8
allowed,32510,2
introduced,151178,1
western,71510,2
readers,1293 409,2
virgil,2920 62590,1
horace,9803 675,1
ovid,87509,1
shakespeare,1116 49182,1
milton,42335 1013,1
burns,33750 82,1
wordsworth,10020 23365,1
branger,1697 5249,1
hugo,71 29705,1
or,267,9
baudelaire,165589 2717 594,1
traditional,167031,2
criticism,15345 89445,2
emphasized,347 95774 2110,1
author,5524,1
interpreting,153174 1744,1
practice,78473,2
burton,14286 1013,1
watson,27961 1356,3
attributes,27253,1
close,8722,1
links,26581,1
that,14116,23
thought,112245,4
posits,1103 1348,1
between,81749,2
art,497,1
morality,63985 9443,2
since,21910,3
many,74032,4
feature,26269,1
history,38238,5
particularly,148588,1
important,31371,1
another,74224,1
reason,42743,2
hung,193844,4
typically,176916,1
concise,50621 1096,1
omitting,310 6603,1
context,3822,1
might,147735,1
relevant,264 37477,1
informed,258 11144,1
contemporary,542 107558,1
could,58995,1
assumed,456 41602,1
modern,73148,2
less,2695,2
accurately,33206 3721,1
we,854,5
place,3243,2
circumstances,156415 394 14435,1
background,14364,1
more,8229,7
liable,85284,1
imagine,321 30596,1
incorrectly,131685 423,1
result,2521,1
will,21053,1
either,105049,2
misunderstand,18320 11093 2861,1
poem,2519 347,4
fail,37533,1
understand,11093 2861,1
altogether,3271 22396,1
stephen,2277 22407,1
owen,384 262,3
suggests,95873 82,2
third,60279,1
factor,73174,1
particular,5815 25350,1
arguing,1170 23147,1
variety,1465 4343,2
required,12919,2
